"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","179.683","447.374","612.389","649.059","1730.824","1771.161","1558.475","1602.479","1595.145","1609.813","1617.147","1650.15","1712.489","1749.159","2321.211","2357.881","2372.549","2416.553","2420.22","2497.227","2497.227","2592.569","2508.228","2522.896","2456.89","2438.555","1301.785","876.413","","","",
"Afghanistan","AFG","CO2 emissions (kt)","EN.ATM.CO2E.KT","414.371","491.378","689.396","707.731","839.743","1008.425","1092.766","1283.45","1224.778","942.419","1672.152","1895.839","1532.806","1639.149","1917.841","2126.86","1987.514","2390.884","2159.863","2240.537","1760.16","1983.847","2101.191","2522.896","2830.924","3509.319","3142.619","3124.284","2867.594","2775.919","2614.571","2438.555","1393.46","1345.789","1294.451","1243.113","1177.107","1096.433","1041.428","821.408","773.737","638.058","883.747","1026.76","949.753","1327.454","1650.15","2273.54","4217.05","6776.616","8470.77","12251.447","20454.526","21268.6","","","",
"Angola","AGO","CO2 emissions (kt)","EN.ATM.CO2E.KT","550.05","454.708","1180.774","1151.438","1224.778","1188.108","1554.808","993.757","1672.152","2786.92","3582.659","3410.31","4506.743","4880.777","4873.443","4415.068","3285.632","3534.988","5412.492","5504.167","5346.486","5280.48","4649.756","5115.465","5009.122","4701.094","4660.757","5815.862","5130.133","5009.122","5115.465","5089.796","5196.139","5775.525","3890.687","10975.331","10458.284","7381.671","7308.331","9156.499","9541.534","9732.218","12665.818","9064.824","18793.375","19156.408","22266.024","25151.953","25709.337","27792.193","29057.308","30340.758","33399.036","32463.951","","","",
"Albania","ALB","CO2 emissions (kt)","EN.ATM.CO2E.KT","2024.184","2280.874","2464.224","2082.856","2016.85","2174.531","2552.232","2680.577","3072.946","3245.295","3744.007","4352.729","5643.513","5291.481","4345.395","4594.751","4950.45","5720.52","6494.257","7587.023","5170.47","7341.334","7308.331","7631.027","7825.378","7880.383","8056.399","7444.01","7326.666","8984.15","5309.816","4286.723","2515.562","2335.879","1925.175","2086.523","2016.85","1543.807","1752.826","2984.938","3021.608","3223.293","3751.341","4294.057","4165.712","4253.72","3898.021","3927.357","4374.731","4378.398","4598.418","5240.143","4712.095","4814.771","","","",
"Andorra","AND","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","407.037","425.372","458.375","484.044","513.38","524.381","524.381","531.715","535.382","564.718","575.719","546.383","539.049","539.049","517.047","517.047","491.378","491.378","491.378","","","",
"Arab World","ARB","CO2 emissions (kt)","EN.ATM.CO2E.KT","59564.0818861558","65151.1971721615","74357.8234121763","87896.1159054674","103196.442128905","123828.389530882","139079.366484309","149731.192024344","178805.316801262","213131.944110155","220575.742247712","250916.193630871","272873.195829523","318600.433106489","310921.722207195","307787.10504276","373496.609115022","395284.767766176","425911.519077703","456160.207663309","508780.666292509","497497.512705305","476949.987077078","508652.198375934","554904.318854908","587087.367212946","648469.337752575","649739.334870718","688632.078985884","699720.695442275","706668.974473042","743660.393422894","802968.52473781","881796.438348351","908715.972638708","871977.819010104","864677.078641308","833719.590320332","906417.135622526","919955.058517561","1045846.735","1040749.605","1063085.302","1144089.332","1253497.944","1318158.155","1381468.91","1359826.276","1491365.233","1583318.925","1649918.979","1652929.586","1794538.125","1769708.868","","","",
"United Arab Emirates","ARE","CO2 emissions (kt)","EN.ATM.CO2E.KT","11.001","11.001","18.335","22.002","18.335","22.002","25.669","916.75","1243.113","20524.199","15247.386","21184.259","23454.132","30630.451","31327.181","31070.491","39651.271","38785.859","44814.407","36607.661","36904.688","36857.017","36871.685","35342.546","46394.884","49926.205","47234.627","47693.002","48367.73","54487.953","52009.061","57010.849","58136.618","65980.331","73130.981","70641.088","41059.399","41646.119","81495.408","78374.791","112562.232","101414.552","84704.033","106841.712","113240.627","116148.558","123874.927","135627.662","157354.637","167959.601","160812.618","159584.173","172356.334","169122.04","","","",
"Argentina","ARG","CO2 emissions (kt)","EN.ATM.CO2E.KT","48815.104","51180.319","53695.881","50083.886","55727.399","58866.351","63138.406","65543.958","69082.613","77329.696","82734.854","88939.418","90156.862","94065.884","95569.354","94931.296","99786.404","100791.162","102639.33","110703.063","108737.551","102041.609","103424.068","105213.564","106522.683","100596.811","104212.473","114942.115","121473.042","117090.977","112613.57","117021.304","121447.373","118609.115","123350.546","127963.632","135000.605","138003.878","139815.376","146984.361","142136.587","133720.822","124714.67","135062.944","157589.325","162110.736","175436.614","175176.257","189107.19","179961.692","187919.082","191633.753","192359.819","189818.588","","","",
"Armenia","ARM","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5518.835","2555.899","2706.246","3410.31","2563.233","3234.294","3362.639","3014.274","3465.315","3542.322","3043.61","3428.645","3644.998","4352.729","4382.065","5064.127","5559.172","4360.063","4217.05","4917.447","5694.851","5496.833","","","",
"American Samoa","ASM","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
